Exemption Number,Manufacturer Registration Number,Manufacturer Name,Report ID,Date of Event,Manufacturer Aware Date,Event Type,Device Problem Codes,Report Year,Report Quarter,Initial Report Flag,Device ID,Product Code,Brand Name,Model Number,Catalog Number,Implant Available for Evaluation,Implant Returned to Manufacturer
2007014,9617229,ALLERGAN,677668.S1,7/15/2011,7/15/2011,IN,3190,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-659,2,2
2007014,9617229,ALLERGAN,677669.S1,7/15/2011,7/15/2011,IN,1546,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-659,2,2
2007014,9617229,ALLERGAN,687082,8/31/2011,2/14/2019,IN,2682;1546,2019,1,I,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-420,2,2
2007014,9617229,ALLERGAN,693530,4/11/2011,3/11/2019,IN,1546,2019,1,I,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-304,2,2
2007014,9617229,ALLERGAN,704461.S1,11/23/2011,11/23/2011,IN,1546,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-420,2,2
2007014,9617229,ALLERGAN,704462.S1,11/23/2011,11/23/2011,IN,3189,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-420,2,2
2007014,9617229,ALLERGAN,704640.S1,2/7/2011,11/28/2011,IN,1546;2614,2019,1,S,115,FTR,Natrelle Silicone-Filled Breast Implants,115,115-272,2,2
2007014,9617229,ALLERGAN,704641,2/7/2011,3/5/2019,IN,1546,2019,1,I,115,FTR,Natrelle Silicone-Filled Breast Implants,115,115-272,2,2
2007014,9617229,ALLERGAN,844978.S3,1/18/2012,7/10/2015,IN,1546,2019,1,S,110,FTR,Natrelle Silicone-Filled Breast Implants,110,110-240,2,2
2007014,9617229,ALLERGAN,845399,1/19/2012,1/14/2019,IN,1546,2019,1,I,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-371,2,2
2007014,9617229,ALLERGAN,845400,1/19/2012,1/14/2019,IN,3189,2019,1,I,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-371,2,2
2007014,9617229,ALLERGAN,847768.S2,1/26/2012,10/10/2012,IN,3189,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-492,2,2
2007014,9617229,ALLERGAN,855699.S1,2/23/2012,2/23/2012,IN,3189,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-450,2,2
2007014,9617229,ALLERGAN,855700.S1,2/23/2012,2/23/2012,IN,1546,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-480,2,2
2007014,9617229,ALLERGAN,872838,4/20/2012,12/4/2018,IN,2682,2019,1,I,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-750,2,2
2007014,9617229,ALLERGAN,909282.S1,9/21/2011,8/22/2012,IN,2682,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-421,2,2
2007014,9617229,ALLERGAN,925099.S2,10/18/2012,9/12/2018,IN,1546,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-425,2,2
2007014,9617229,ALLERGAN,929707.S4,11/4/2012,11/4/2012,IN,2682,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-500,2,2
2007014,9617229,ALLERGAN,948220.S1,NI,1/18/2013,IN,1546;2682,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-286,2,2
2007014,9617229,ALLERGAN,957809.S1,2/20/2013,12/11/2018,IN,2682,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-339,2,2
2007014,9617229,ALLERGAN,1017194.S2,9/5/2013,10/30/2013,IN,3190,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-420,2,2
2007014,9617229,ALLERGAN,1017195.S2,9/5/2013,10/30/2013,IN,3189,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-480,2,2
2007014,9617229,ALLERGAN,1034583.S1,6/1/2013,11/5/2013,IN,3189,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-270,2,2
2007014,9617229,ALLERGAN,1034585.S1,6/1/2013,11/5/2013,IN,1546,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-270,2,2
2007014,9617229,ALLERGAN,1060868.S1,NI,2/12/2014,IN,2976;1395,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-475,2,2
2007014,9617229,ALLERGAN,1092640.S3,5/20/2014,4/30/2016,IN,1546;2682,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-600,2,2
2007014,9617229,ALLERGAN,1096827.S1,9/11/2013,10/25/2018,IN,1546,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-421,2,2
2007014,9617229,ALLERGAN,1096828.S1,9/11/2013,10/25/2018,IN,1546,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-397,2,2
2007014,9617229,ALLERGAN,1166829.S1,9/17/2014,2/3/2015,IN,3189,2019,1,S,45,FTR,Natrelle Silicone-Filled Breast Implants,45,45-650,2,2
2007014,9617229,ALLERGAN,1166836.S1,9/17/2014,2/3/2015,IN,3189,2019,1,S,45,FTR,Natrelle Silicone-Filled Breast Implants,45,45-650,2,2
2007014,9617229,ALLERGAN,1169342.S1,2/10/2015,2/10/2015,IN,3189,2019,1,S,120,FTR,Natrelle Silicone-Filled Breast Implants,120,120-500,2,2
2007014,9617229,ALLERGAN,1169343.S1,2/10/2015,2/10/2015,IN,3189,2019,1,S,120,FTR,Natrelle Silicone-Filled Breast Implants,120,120-500,2,2
2007014,9617229,ALLERGAN,1170432.S1,NI,12/17/2018,IN,2682;1546,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-575,2,2
2007014,9617229,ALLERGAN,1172831,NI,1/15/2019,IN,2682,2019,1,I,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-475,2,2
2007014,9617229,ALLERGAN,1200121.S1,10/7/2014,6/30/2015,IN,1546,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-371,2,2
2007014,9617229,ALLERGAN,1230660,NI,2/15/2019,IN,1546,2019,1,I,Inspira SSM Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SSM Soft Touch,N-SSM275,2,2
2007014,9617229,ALLERGAN,1230661,NI,2/15/2019,IN,1546,2019,1,I,Inspira TSM Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSM Soft Touch,N-TSM375,2,2
2007014,9617229,ALLERGAN,1301259.S2,4/8/2016,4/13/2016,IN,2203,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-371,2,2
2007014,9617229,ALLERGAN,1301260.S1,4/8/2016,1/2/2018,IN,2682,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-397,2,2
2007014,9617229,ALLERGAN,1331098.S2,7/6/2016,7/6/2016,IN,2682,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-650,2,2
2007014,9617229,ALLERGAN,1347648.S1,6/30/2015,8/23/2016,IN,3189,2019,1,S,115,FTR,Natrelle Silicone-Filled Breast Implants,115,115-253,2,2
2007014,9617229,ALLERGAN,1358034.S3,9/20/2016,9/23/2016,IN,2682;1546,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-400,2,2
2007014,9617229,ALLERGAN,1369048,8/1/2016,2/4/2019,IN,1546,2019,1,I,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-300,2,2
2007014,9617229,ALLERGAN,1370912.S1,NI,2/1/2019,IN,1546;2682,2019,1,S,Inspira SRM,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SRM,SRM-445,2,2
2007014,9617229,ALLERGAN,1380638.S1,9/1/2016,11/30/2016,IN,2682,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-371,2,2
2007014,9617229,ALLERGAN,1384277,NI,12/12/2016,IN,3189,2019,1,I,Inspira TSM Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSM Soft Touch,N-TSM255,2,2
2007014,9617229,ALLERGAN,1384278,NI,12/12/2016,IN,3189,2019,1,I,Inspira TSM Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSM Soft Touch,N-TSM255,2,2
2007014,9617229,ALLERGAN,1397047.S1,1/11/2017,1/20/2017,IN,1546,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-450,2,2
2007014,9617229,ALLERGAN,1406468.S1,1/27/2017,2/14/2017,IN,2682,2019,1,S,115,FTR,Natrelle Silicone-Filled Breast Implants,115,115-401,2,2
2007014,9617229,ALLERGAN,1427967.S1,1/26/2017,4/4/2017,IN,1546;1395,2019,1,S,Inspira TRM,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TRM,N-TRM330,2,2
2007014,9617229,ALLERGAN,1433788.S1,4/20/2017,4/20/2017,IN,2682,2019,1,S,Inspira SRM,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SRM,SRM-485,2,2
2007014,9617229,ALLERGAN,1433789,4/20/2017,3/12/2019,IN,2682,2019,1,I,Inspira SRM,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SRM,SRM-485,2,2
2007014,9617229,ALLERGAN,1441086.S1,NI,5/5/2017,IN,1546,2019,1,S,Inspira TRX,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TRX,TRX-285,2,2
2007014,9617229,ALLERGAN,1453732.S1,7/19/2016,6/5/2017,IN,1546,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-330,2,2
2007014,9617229,ALLERGAN,1453755,7/19/2016,2/20/2019,IN,1546,2019,1,I,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-330,2,2
2007014,9617229,ALLERGAN,1485882,NI,3/15/2019,IN,2682,2019,1,I,Inspira SRM,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SRM,SRM-310,2,2
2007014,9617229,ALLERGAN,1485883.S2,NI,8/9/2017,IN,2682,2019,1,S,Inspira SRM,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SRM,SRM-310,2,2
2007014,9617229,ALLERGAN,1493479.S1,4/15/2017,8/25/2017,IN,1546,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-550,2,2
2007014,9617229,ALLERGAN,1499143.S1,8/15/2017,9/7/2017,IN,1546,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-500,2,2
2007014,9617229,ALLERGAN,1534540.S1,11/7/2017,11/21/2017,IN,2682,2019,1,S,Inspira TCM Cohesive,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TCM Cohesive,TCM-445,2,2
2007014,9617229,ALLERGAN,1542143.S1,12/7/2017,12/7/2017,IN,2682,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-450,2,2
2007014,9617229,ALLERGAN,1543570.S1,12/2/2017,12/5/2017,IN,1546;2682,2019,1,S,Inspira TSF Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSF Soft Touch,N-TSF295,2,2
2007014,9617229,ALLERGAN,1578343.S1,1/5/2018,1/11/2018,IN,2682,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-350,2,2
2007014,9617229,ALLERGAN,1584874.S1,1/24/2018,1/24/2018,IN,2682,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-375,2,2
2007014,9617229,ALLERGAN,1584875,1/24/2018,3/15/2019,IN,2682,2019,1,I,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-375,2,2
2007014,9617229,ALLERGAN,1589701.S1,NI,1/29/2018,IN,1546;2682,2019,1,S,45,FTR,Natrelle Silicone-Filled Breast Implants,45,25-45321,2,2
2007014,9617229,ALLERGAN,1603447.S2,NI,2/26/2018,IN,1546;2682,2019,1,S,Inspira TSF Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSF Soft Touch,N-TSF265,2,2
2007014,9617229,ALLERGAN,1603448.S2,NI,2/26/2018,IN,1546;2682,2019,1,S,Inspira TSF Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSF Soft Touch,N-TSF265,2,2
2007014,9617229,ALLERGAN,1606759.S1,3/15/2017,3/8/2018,IN,2682;1546;1395,2019,1,S,Inspira SRM,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SRM,SRM-375,2,2
2007014,9617229,ALLERGAN,1612441.S1,6/15/2017,3/20/2018,IN,1546,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-457,2,2
2007014,9617229,ALLERGAN,1619042.S2,NI,3/23/2018,IN,2682,2019,1,S,Inspira TSF Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSF Soft Touch,N-TSF240,2,2
2007014,9617229,ALLERGAN,1623306.S2,1/1/2017,4/11/2018,IN,2682,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-371,2,2
2007014,9617229,ALLERGAN,1628255.S2,3/20/2018,4/17/2018,IN,1546;2682,2019,1,S,Inspira TRX,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TRX,N-TRX400,2,2
2007014,9617229,ALLERGAN,1632531.S2,3/15/2018,4/20/2018,IN,1546,2019,1,S,Inspira TRF,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TRF,N-TRF385,2,2
2007014,9617229,ALLERGAN,1635534.S1,5/1/2018,5/2/2018,IN,2682;1546,2019,1,S,115,FTR,Natrelle Silicone-Filled Breast Implants,115,115-354,2,2
2007014,9617229,ALLERGAN,1642070.S1,1/1/2016,5/15/2018,IN,2682;1546,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-492,2,2
2007014,9617229,ALLERGAN,1646051.S1,NI,5/18/2018,IN,1546;2682,2019,1,S,Inspira TSX Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSX Soft Touch,N-TSX310,2,2
2007014,9617229,ALLERGAN,1646592,5/17/2018,1/16/2019,IN,1546,2019,1,I,115,FTR,Natrelle Silicone-Filled Breast Implants,115,115-507,2,2
2007014,9617229,ALLERGAN,1647560.S1,NI,5/17/2018,IN,3189,2019,1,S,Inspira TSX Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSX Soft Touch,N-TSX400,2,2
2007014,9617229,ALLERGAN,1648230.S1,5/15/2018,7/11/2018,IN,2682,2019,1,S,Inspira TSF Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSF Soft Touch,N-TSF325,2,2
2007014,9617229,ALLERGAN,1650385,6/1/2018,1/3/2019,IN,1546,2019,1,I,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-300,2,2
2007014,9617229,ALLERGAN,1650851.S1,NI,6/4/2018,IN,2682,2019,1,S,Inspira SRX,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SRX,SRX-525,2,2
2007014,9617229,ALLERGAN,1650874.S2,NI,6/4/2018,IN,2682;1546,2019,1,S,Inspira SRLP,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SRLP,SRLP-250,2,2
2007014,9617229,ALLERGAN,1650875.S2,NI,6/4/2018,IN,2682,2019,1,S,Inspira SRLP,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SRLP,SRLP-250,2,2
2007014,9617229,ALLERGAN,1652625,NI,3/21/2019,IN,1546,2019,1,I,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-350,2,2
2007014,9617229,ALLERGAN,1652626.S1,NI,6/6/2018,IN,1546,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-350,2,2
2007014,9617229,ALLERGAN,1653399.S1,1/1/2016,6/8/2018,IN,2682,2019,1,S,115,FTR,Natrelle Silicone-Filled Breast Implants,115,115-469,2,2
2007014,9617229,ALLERGAN,1654244,5/29/2018,3/7/2019,IN,2682,2019,1,I,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-300,2,2
2007014,9617229,ALLERGAN,1655570.S1,1/10/2018,6/13/2018,IN,2682,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-286,2,2
2007014,9617229,ALLERGAN,1659510.S2,6/19/2018,6/21/2018,IN,1546;1395,2019,1,S,120,FTR,Natrelle Silicone-Filled Breast Implants,120,120-400,2,2
2007014,9617229,ALLERGAN,1660420.S1,NI,6/21/2018,IN,1546,2019,1,S,Inspira TSX Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSX Soft Touch,N-TSX310,2,2
2007014,9617229,ALLERGAN,1661122.S1,NI,6/26/2018,IN,1546,2019,1,S,Inspira TSM Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSM Soft Touch,TSM275,2,2
2007014,9617229,ALLERGAN,1661484.S3,6/25/2018,6/26/2018,IN,1546;2682,2019,1,S,115,FTR,Natrelle Silicone-Filled Breast Implants,115,115-401,2,2
2007014,9617229,ALLERGAN,1661485,6/25/2018,1/30/2019,IN,2682,2019,1,I,115,FTR,Natrelle Silicone-Filled Breast Implants,115,115-322,2,2
2007014,9617229,ALLERGAN,1661501.S2,5/8/2018,6/25/2018,IN,2682,2019,1,S,Inspira SRLP,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SRLP,N-SRLP250,2,2
2007014,9617229,ALLERGAN,1662420.S2,5/15/2018,6/26/2018,IN,2682,2019,1,S,Inspira TSX Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSX Soft Touch,N-TSX340,2,2
2007014,9617229,ALLERGAN,1663629.S2,NI,6/29/2018,IN,2682,2019,1,S,Inspira TSF Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSF Soft Touch,N-TSF220,2,2
2007014,9617229,ALLERGAN,1663631.S2,NI,6/29/2018,IN,2682,2019,1,S,Inspira TSF Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSF Soft Touch,N-TSF220,2,2
2007014,9617229,ALLERGAN,1664031.S1,2/7/2018,6/29/2018,IN,3189,2019,1,S,Inspira TSX Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSX Soft Touch,N-TSX445,2,2
2007014,9617229,ALLERGAN,1664032.S1,2/7/2018,6/29/2018,IN,3189,2019,1,S,Inspira TSX Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSX Soft Touch,N-TSX445,2,2
2007014,9617229,ALLERGAN,1664415.S1,7/3/2018,7/3/2018,M,1069,2019,1,S,Inspira TSX Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSX Soft Touch,N-TSX470,2,2
2007014,9617229,ALLERGAN,1668610.S1,1/15/2018,7/13/2018,IN,1546,2019,1,S,Inspira TSX Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSX Soft Touch,N-TSX340,2,2
2007014,9617229,ALLERGAN,1671606,NI,3/15/2019,IN,1546,2019,1,I,Inspira SRF,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SRF,SRF-365,2,2
2007014,9617229,ALLERGAN,1671608,NI,3/15/2019,IN,1546,2019,1,I,Inspira SRF,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SRF,SRF-365,2,2
2007014,9617229,ALLERGAN,1672525.S1,6/15/2018,10/30/2018,IN,1546,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-360,2,2
2007014,9617229,ALLERGAN,1674826.S1,NI,7/24/2018,IN,1546;1395,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-492,2,2
2007014,9617229,ALLERGAN,1675993.S2,3/15/2018,7/27/2018,IN,1546,2019,1,S,115,FTR,Natrelle Silicone-Filled Breast Implants,115,115-354,2,2
2007014,9617229,ALLERGAN,1680201.S1,5/15/2018,10/15/2018,IN,2682;1395;1546,2019,1,S,Inspira TSLP Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TSLP Soft Touch,N-TSLP280,2,2
2007014,9617229,ALLERGAN,1680643.S1,NI,8/7/2018,IN,2682,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-659,2,2
2007014,9617229,ALLERGAN,1682598.S1,8/9/2018,8/9/2018,IN,1546,2019,1,S,Inspira SRL,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SRL,SRL-200,2,2
2007014,9617229,ALLERGAN,1683507.S1,12/15/2016,8/14/2018,IN,2682;1546,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-600,2,2
2007014,9617229,ALLERGAN,1684438,10/15/2016,1/10/2019,IN,1546,2019,1,I,Inspira TRX,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TRX,N-TRX525,2,2
2007014,9617229,ALLERGAN,1685070.S2,8/9/2018,8/16/2018,IN,1546,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-475,2,2
2007014,9617229,ALLERGAN,1685662,7/17/2018,3/5/2019,IN,2682,2019,1,I,Inspira TCF Cohesive,FTR,Natrelle Silicone-Filled Breast Implants,Inspira TCF Cohesive,TCF-450,2,2
2007014,9617229,ALLERGAN,1687073.S2,6/15/2018,8/21/2018,IN,2682,2019,1,S,Inspira SSX Soft Touch,FTR,Natrelle Silicone-Filled Breast Implants,Inspira SSX Soft Touch,SSX-750,2,2
2007014,9617229,ALLERGAN,1687469.S1,8/22/2018,8/22/2018,IN,1546,2019,1,S,Unknown Gel,FTR,,,UNK Gel Breast Implant,2,2
